GPU Utilization,GPU Memory,CPU Utilization,CPU Memory
5,96.07506521059564,10.3,9.437891186916655
9,96.07506521059564,26.4,9.51867817071861
11,96.07506521059564,25.2,9.532515503040985
3,96.07506521059564,25.3,9.517589977442874
11,96.07506521059564,24.0,9.539763052128125
11,96.07506521059564,24.0,9.548244291084972
11,96.07506521059564,22.9,9.563300157381848
11,96.07506521059564,23.2,9.570423428128304
2,96.07506521059564,23.0,9.57235428917745
11,96.07506521059564,23.2,9.574033562366191
11,96.07506521059564,22.8,9.585476263246138
10,96.07506521059564,22.7,9.59626119827418
11,96.07506521059564,22.8,9.6035663397631
11,96.07506521059564,23.3,9.603035883430918
11,96.07506521059564,22.7,9.550363085234663
11,96.07506521059564,22.4,9.566570799567135
9,96.07506521059564,22.4,9.566382866466592
2,96.07506521059564,22.7,9.570538612931864
10,96.07506521059564,22.8,9.575900768655474
3,96.07506521059564,22.8,9.583090725340835
9,96.07506521059564,9.4,9.483774144060966
11,96.07506521059564,27.2,9.58794061180651
11,96.07506521059564,25.1,9.603087413474615
11,96.07506521059564,24.6,9.626569957505598
11,96.07506521059564,23.9,9.637200302402546
11,96.07506521059564,23.8,9.659740149751764
9,96.07506521059564,9.4,9.441201234429478
11,96.07506521059564,25.5,9.519523869671062
0,96.07506521059564,11.1,8.133735498043784
