step,stopping_distance,Radar_distance,speed,steer,gps_x,gps_y,actual_x,actual_y,time,risk_time
32,1.6132789312852938e-18,5.8002863,4.704698389613752e-09,-0.03413197577593166,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.24575066566467285,0.00031828880310058594
33,8.88661230597988e-17,4.9233975,-3.4917663272052435e-08,-0.03325586176671741,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2504093647003174,0.00029397010803222656
34,1.3469028588269298e-18,5.9933147,4.298779736518897e-09,-0.034581029978040176,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.23736906051635742,0.00040149688720703125
35,2.423689459445625e-19,5.3108783,1.8235410437825077e-09,-0.03534162993076786,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.24586248397827148,0.0003592967987060547
36,1.987642156080887e-18,5.4829907,5.222111678375882e-09,-0.03752897576693349,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.24901151657104492,0.0003516674041748047
37,1.1158924538226107e-17,4.8494043,1.2373376445597304e-08,-0.03798010838610434,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.24103832244873047,0.0003032684326171875
38,6.256851457720948e-08,5.0378876,0.0009265203829378575,-0.038798128885410677,236.043624873463,38.02386048570483,235.36822509324125,10.252447217281603,0.24570059776306152,0.0002994537353515625
39,0.02656216476994937,5.6512585,0.6036827814702895,-0.04089796339715421,236.04359435589137,38.00223030605125,235.36822509324125,10.252447217281603,0.24408435821533203,0.00035119056701660156
40,0.0944682539198316,5.125436,1.138465828990967,-0.020456329923650866,236.0434875443258,37.95170647899296,235.36822509324125,10.252447217281603,0.24012970924377441,0.00032019615173339844
41,0.18693728572011648,5.428792,1.6014929160255433,-0.01351068352049943,236.04341125046162,37.87659977841844,235.36822509324125,10.252447217281603,0.2379446029663086,0.00029587745666503906
42,0.29072582257282786,5.2682567,1.9971875940179478,-0.014790058586220524,236.0434875443258,37.78082043029064,235.36822509324125,10.252447217281603,0.25078439712524414,0.0003185272216796875
43,0.39767801671977776,6.14378,2.3358386907908155,-0.01749884141188111,236.04257201704732,37.667649188341656,235.36822509324125,10.252447217281603,0.25114989280700684,0.00033593177795410156
44,0.5032176276171519,6.121985,2.6275741380420317,-0.01806489191638984,236.04112243207084,37.53967634095803,235.36822509324125,10.252447217281603,0.24043726921081543,0.0003209114074707031
45,0.6048986880207156,6.1426024,2.8808349483516436,-0.01735204973728761,236.03970336466594,37.398931382852666,235.36822509324125,10.252447217281603,0.24608731269836426,0.00030493736267089844
46,0.7018811770862623,5.5837493,3.1031934760216804,-0.017802033509137973,236.03846740282054,37.247024178514074,235.36822509324125,10.252447217281603,0.24822378158569336,0.0003941059112548828
47,0.7943565632830915,5.9814267,3.3012985397028265,-0.01674518173770767,236.03733825241096,37.085186923646845,235.36822509324125,10.252447217281603,0.24615073204040527,0.00031566619873046875
48,0.882554570395012,6.205323,3.4797483681754295,-0.016335575767500696,236.0360717728642,36.91404525567066,235.36822509324125,10.252447217281603,0.24445796012878418,0.0003006458282470703
49,0.9675036850046768,5.9579887,3.6433707687063865,-0.015490484050594097,236.03538512743776,36.734785583530595,235.36822509324125,10.252447217281603,0.24826884269714355,0.0003864765167236328
50,1.0500915866070009,5.898595,3.795689208595463,-0.012412785632388198,236.03475951702487,36.54791909831386,235.36822509324125,10.252447217281603,0.24598073959350586,0.0003123283386230469
51,1.1310528673298739,6.226964,3.9392950308101917,-0.011815856032369319,236.0345458940235,36.35418588377263,235.36822509324125,10.252447217281603,0.24442100524902344,0.0004954338073730469
52,1.1937113248294386,5.9730105,4.046939507412966,-0.012764706860504873,236.0339660600329,36.154219199488395,235.36822509324125,10.252447217281603,0.25171589851379395,0.00033283233642578125
53,1.199046730468345,6.62187,4.055973513476844,-0.014760813044286867,236.03366088418693,35.951914008116276,235.36822509324125,10.252447217281603,0.24477910995483398,0.0003943443298339844
54,1.138241087752937,6.9116473,3.9517929758491013,-0.011316299791024121,236.03274535690844,35.75370977077441,235.36822509324125,10.252447217281603,0.24670147895812988,0.0002875328063964844
55,1.0324909028705904,6.9399414,3.763744835583903,-0.012509492098980423,236.03257751019964,35.56404315516464,235.36822509324125,10.252447217281603,0.24076223373413086,0.0004756450653076172
56,0.9099965444678969,7.0820208,3.533433541203166,-0.00771313499858406,236.0328063920517,35.38550063384656,235.36822509324125,10.252447217281603,0.2534964084625244,0.0003180503845214844
57,0.781565347785077,5.388932,3.274610903849686,-0.006705479087606853,236.03298949748145,35.21953947303468,235.36822509324125,10.252447217281603,0.2429976463317871,0.00029015541076660156
58,0.6750410087485841,4.9397955,3.043281557797532,-0.0044976583838956165,236.03329467332742,35.0658430476843,235.36822509324125,10.252447217281603,0.2432384490966797,0.0003814697265625
59,0.6183586379945308,5.8191795,2.912710166371684,0.0007703759280649764,236.0334167436139,34.92005479398341,235.36822509324125,10.252447217281603,0.2327578067779541,0.00032448768615722656
60,0.5816806547814376,4.9755692,2.825005943993981,0.0036004273394830617,236.0334930374781,34.77820728020501,235.36822509324125,10.252447217281603,0.23932242393493652,0.0003380775451660156
61,0.5238830288940838,5.3927164,2.6809839903339276,0.004426656350631809,236.0334930374781,34.64219647875875,235.36822509324125,10.252447217281603,0.2565600872039795,0.0005848407745361328
62,0.475463634811937,4.908771,2.5540871303892074,0.010407294259392375,236.03314208533956,34.51322788721662,235.36822509324125,10.252447217281603,0.24804067611694336,0.00031113624572753906
63,0.4569316853807215,4.982383,2.5038176298252033,0.005014151751859612,236.03260802777126,34.38754005889869,235.36822509324125,10.252447217281603,0.24574542045593262,0.0002949237823486328
64,0.4566060693894047,6.1129627,2.5029253428783353,0.0020678429316688296,236.03201293505973,34.262371053321885,235.36822509324125,10.252447217281603,0.24522924423217773,0.00028324127197265625
65,0.47197821664728656,5.2058496,2.5447084572502154,0.0007877212883259627,236.03091430222176,34.135779098660926,235.36822509324125,10.252447217281603,0.2436227798461914,0.00033164024353027344
66,0.49750221980065373,5.30026,2.612609893509739,0.0037636038789855145,236.03016662152234,34.005833892719664,235.36822509324125,10.252447217281603,0.23982882499694824,0.00030040740966796875
67,0.5302596638872557,5.2481017,2.6972509316956677,0.005979284517747878,236.0295715288108,33.87168472124041,235.36822509324125,10.252447217281603,0.24323630332946777,0.00037169456481933594
68,0.5685709959557294,7.2317777,2.792990165487986,0.0011072707400076223,236.02896117724856,33.732805132992155,235.36822509324125,10.252447217281603,0.24140167236328125,0.00031447410583496094
69,0.6108476568373121,5.1155305,2.894966295452837,0.0023004696884256176,236.02821349654917,33.588554230411404,235.36822509324125,10.252447217281603,0.243333101272583,0.0003123283386230469
70,0.6572328645850808,5.258857,3.002871109805965,0.00224588367035252,236.0270385697173,33.43912657637663,235.36822509324125,10.252447217281603,0.24440693855285645,0.00029206275939941406
71,0.7069962157802564,5.3518066,3.11448038691932,0.002541273699438724,236.02618407758206,33.28431234786555,235.36822509324125,10.252447217281603,0.24460816383361816,0.00037980079650878906
72,0.7598610507651182,5.891421,3.2288223265607883,0.0030160842602847005,236.02532958544683,33.12410391955233,235.36822509324125,10.252447217281603,0.24481558799743652,0.00030493736267089844
73,0.8148664917871637,5.311137,3.3436459542421484,0.0041923343788685214,236.02415465861495,32.95811598467101,235.36822509324125,10.252447217281603,0.2407820224761963,0.00048065185546875
74,0.8560715349121552,5.232104,3.42714187902905,0.005048511397934314,236.02308654334863,32.78734041460051,235.36822509324125,10.252447217281603,0.24215483665466309,0.00047087669372558594
75,0.8866868107855862,7.0938025,3.48788518216673,0.004003061773549697,236.02192687536743,32.6137189558538,235.36822509324125,10.252447217281603,0.24064326286315918,0.00032901763916015625
76,0.8999484072866748,5.195904,3.5138713903575325,0.004278250095209511,236.02059936080713,32.43807562455601,235.36822509324125,10.252447217281603,0.24307727813720703,0.00030541419982910156
77,0.8648363937545737,5.3697467,3.444641537564214,0.003538460922556814,236.01921081097387,32.264633455887825,235.36822509324125,10.252447217281603,0.24318146705627441,0.0003159046173095703
78,0.8231885964468967,5.2821894,3.360676649612608,0.0028929748436821437,236.01786803756292,32.09604758514586,235.36822509324125,10.252447217281603,0.24268722534179688,0.0003757476806640625
79,0.7796307826222192,5.3978095,3.2705556618985785,0.006021989326895997,236.01647948772967,31.93152452282069,235.36822509324125,10.252447217281603,0.24942374229431152,0.0003364086151123047
