GPU Utilization,GPU Memory,CPU Utilization,CPU Memory
8,98.73166032069777,15.3,10.302037895012264
2,98.73166032069777,25.2,10.327715012668964
9,98.73166032069777,24.2,10.31642993309915
11,98.73166032069777,23.6,10.340585398877247
0,98.73166032069777,23.1,10.339169838265077
0,98.73166032069777,23.0,10.330779534679461
11,98.73166032069777,23.3,10.330800752932749
0,98.73166032069777,22.9,10.340873360886144
11,98.73166032069777,23.3,10.353740715915384
0,98.73166032069777,22.9,10.355216900108374
0,98.73166032069777,23.1,10.361630874959227
11,98.73166032069777,22.4,10.35848147993558
0,98.73166032069777,22.5,10.365131886751634
1,98.73166032069777,22.7,10.368984515312803
9,98.73166032069777,22.9,10.333822838436673
9,98.73166032069777,22.9,10.326896594327883
0,98.73166032069777,22.6,10.335768855381025
0,98.73166032069777,22.2,10.329785307953998
1,98.73166032069777,23.0,10.347214587440012
9,98.73166032069777,23.1,10.35311932421197
2,98.73166032069777,23.2,10.361852151029224
6,98.73166032069777,22.1,10.367111246665438
11,98.73166032069777,22.5,10.399650953671065
9,98.73166032069777,22.2,10.386923032877714
