step,stopping_distance,Radar_distance,speed,steer,gps_x,gps_y,actual_x,actual_y,time,risk_time
0,9.201738494740931e-17,4.503972,3.553137376289377e-08,-0.008868851718318289,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.4439361095428467,0.0003600120544433594
1,7.775643721434926e-17,4.9774537,3.266218484089624e-08,-0.014944943180609356,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2746460437774658,0.00031685829162597656
2,7.56694077839344e-17,4.721788,3.2220867070821975e-08,-0.017430670099535233,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2788858413696289,0.00032806396484375
3,5.530666263087206e-18,5.053245,-8.710955236342136e-09,-0.015021335146821593,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2754843235015869,0.00029969215393066406
4,1.645351927180617e-16,5.234666,-4.751234412330975e-08,-0.0168926443355412,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2780313491821289,0.0003209114074707031
5,2.4610317301515033e-18,4.868832,-5.8107964460716245e-09,-0.0191608653033041,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2755308151245117,0.0003108978271484375
6,4.205822757359137e-18,5.1623254,-7.596307539256646e-09,-0.023486331659975747,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2776615619659424,0.0003116130828857422
7,7.056786372177991e-17,5.789564,3.1115769157499875e-08,-0.024223246508800332,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.269329309463501,0.00032210350036621094
8,1.1998351127151049e-17,5.789564,-1.2830330372383729e-08,-0.024769457732811223,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.27669525146484375,0.0005059242248535156
9,4.948047867634444e-17,5.282236,2.6055175444418825e-08,-0.024389611987766718,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.27588391304016113,0.0004639625549316406
10,4.656254249586605e-17,5.2145844,2.527524644871504e-08,-0.027346679351985245,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.26615166664123535,0.0003330707550048828
11,2.3330971067147043e-17,5.012175,-1.7891364482376894e-08,-0.02871366966536965,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2702913284301758,0.0003364086151123047
12,3.9001223897790675e-17,5.932813,2.3132159256707707e-08,-0.028042720783580503,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2752726078033447,0.00046706199645996094
13,2.4826208670761935e-17,5.397628,-1.8455773702634463e-08,-0.028470981281086973,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2708299160003662,0.0004496574401855469
14,4.3933727800985854e-17,5.066077,-2.4551389887937628e-08,-0.031173475162653126,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.27378153800964355,0.00032138824462890625
15,4.203876906750734e-17,5.6762958,-2.401607610760344e-08,-0.03020516735488578,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2751579284667969,0.00029206275939941406
16,1.4507814095010646e-17,5.706589,1.4108409172672377e-08,-0.03076633384726685,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.27585577964782715,0.0003006458282470703
17,5.085111547901687e-17,5.1518273,-2.641358181640861e-08,-0.029730940775245292,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2716243267059326,0.00029921531677246094
18,1.113220033423886e-16,5.0634804,-3.908117047706698e-08,-0.031074511603194317,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.27277326583862305,0.00037980079650878906
19,1.2303731130824198e-16,5.2785997,-4.108615230401942e-08,-0.03127548048059569,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.27639055252075195,0.0003285408020019531
20,1.019471816145656e-16,5.153188,3.739940282613935e-08,-0.032238925668024124,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.27374935150146484,0.00027942657470703125
21,2.1649497206301826e-20,5.199329,-5.450055978340599e-10,-0.030609454599962165,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.27379512786865234,0.0003933906555175781
22,9.523813095240182e-19,5.3937855,3.6147851342326738e-09,-0.033597352204865524,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2733790874481201,0.00034737586975097656
23,1.7500925997223436e-18,5.8941593,4.900129637896385e-09,-0.033995273381533755,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.27658915519714355,0.00032806396484375
24,1.4747176747583353e-16,5.3825865,4.498124775690906e-08,-0.032663685361605056,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.27538633346557617,0.00032782554626464844
25,7.332666119223931e-17,4.8096037,-3.1718161856537704e-08,-0.032682462263127175,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.267855167388916,0.0002963542938232422
26,0.0,6.164057,0.0,-0.03172410139265735,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.28220438957214355,0.00028705596923828125
27,4.78551729479343e-16,5.130528,-8.102919059485036e-08,-0.03380683576690385,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2695777416229248,0.0002663135528564453
28,4.0297288572349627e-19,5.405017,2.3513374900524954e-09,-0.03445811806764679,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.27343225479125977,0.00028252601623535156
29,9.602550733543199e-18,5.252985,1.1478109429004966e-08,-0.036483494505382026,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.27153682708740234,0.00038051605224609375
30,1.551894022535849e-17,6.2569175,1.4591773706164666e-08,-0.037882518405973786,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2768714427947998,0.00045871734619140625
31,2.6738089256317898e-17,6.752851,1.9153239532692155e-08,-0.036812765213558835,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2680854797363281,0.0003237724304199219
32,3.621117267982467e-17,5.8002863,2.2289398582447092e-08,-0.03690289197869821,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2696197032928467,0.0004932880401611328
33,2.336432660316755e-16,4.9233975,-5.661789125315944e-08,-0.03451116231288897,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2797682285308838,0.00032782554626464844
